time,open,high,low,close,Volume
2019-12-02,205.11,205.18,201.78,203,28121020
2019-12-03,200.32,201.49,199.23,201.41,31425404
2019-12-04,202.49,202.91,202.14,202.43,15336754
2019-12-05,203.15,203.15,201.84,202.83,15038785
2019-12-06,204.25,205.145,204.1501,205,16562247
2019-12-09,204.63,205.5937,203.98,204.07,14032175
2019-12-10,204.17,204.88,203.44,203.9,21849714
2019-12-11,204.37,205.19,204.04,204.98,18897759
2019-12-12,204.77,207.32,204.491,206.51,32704625
2019-12-13,206.36,207.91,205.96,207.19,32534393
2019-12-16,208.5,209.53,208.48,209.27,21366177
2019-12-17,209.5,209.71,209.04,209.39,16034647
2019-12-18,209.6,210.13,209.33,209.55,15490828
2019-12-19,209.64,210.93,209.62,210.86,17892062
2019-12-20,211.81,212.5186,211.27,211.71,27690934
2019-12-23,212.03,212.15,211.63,211.81,23798671
2019-12-24,211.97,212.09,211.44,211.92,7089020
2019-12-26,212.26,213.81,212.23,213.79,17159310
2019-12-27,214.55,214.56,213.04,213.61,18142239
2019-12-30,213.51,213.63,211.16,212.21,21829913
2019-12-31,211.62,212.76,211.2,212.61,18201585
2020-01-02,214.4,216.16,213.98,216.16,31014904
2020-01-03,213.29,215.47,213.28,214.18,27532657
2020-01-06,212.49,215.59,212.24,215.56,21726989
2020-01-07,215.64,216.14,214.85,215.53,23120994
2020-01-08,215.47,218.14,215.16,217.15,26464212
2020-01-09,218.91,219.41,217.7125,218.99,23641291
2020-01-10,219.76,219.87,218.04,218.43,21914631
2020-01-13,219.31,220.98,218.98,220.95,22846102
2020-01-14,220.75,221.21,219.74,220.08,24573340
2020-01-15,220.18,221.2,219.45,220.17,25742084
2020-01-16,221.24,222.32,220.8,222.28,18804959
2020-01-17,223.24,223.56,222.1221,223.38,24325167
2020-01-21,222.73,223.84,222.66,223.28,21146264
2020-01-22,224.38,225.15,223.59,223.87,20736403
2020-01-23,223.71,224.69,222.7,224.59,26496113
2020-01-24,225.62,225.88,221.6701,222.7,37436483
2020-01-27,217.72,219.2845,217.18,218.1,42264418
2020-01-28,219.6,221.96,219.06,221.45,26731876
2020-01-29,222.66,222.93,220.83,221.81,29063128
2020-01-30,220.37,222.7,219.6891,222.6,39568093
2020-01-31,223.5,223.56,218.285,219.07,52015832
2020-02-03,220.14,222.885,219.99,222.38,25468307
2020-02-04,225.39,227.86,224.6523,227.47,30691211
2020-02-05,230.22,230.25,226.85,228.22,38534817
2020-02-06,228.77,230.25,227.98,230.19,22467077
2020-02-07,229.16,230.44,228.54,229.2,25884933
2020-02-10,228.43,231.98,228.38,231.97,21478925
2020-02-11,233.21,234.02,231.3999,232.01,30197983
2020-02-12,233.34,234.38,232.8,234.27,24471275
2020-02-13,232.62,234.93,232.36,233.97,22773159
2020-02-14,234.28,234.86,233.5501,234.64,23438530
2020-02-18,233.47,235.17,233.25,234.73,24521242
2020-02-19,236.07,237.47,235.85,236.98,22230464
2020-02-20,236.46,236.95,231.88,234.78,42604016
2020-02-21,233.64,234.01,229.3211,230.27,66058611
2020-02-24,221.84,224.25,220.26,221.39,84522551
2020-02-25,223.19,223.9879,214.74,215.37,97742982
2020-02-26,216.67,220.28,214.9,216.48,80400053
2020-02-27,211.05,216.4235,205.5,205.64,121822562
2020-02-28,198.92,207.17,198.17,205.8,149247073
2020-03-02,208.88,216.57,205.94,216.42,112933945
2020-03-03,217.11,219.61,207.62,209.48,131953546
2020-03-04,213.32,218.33,211.37,218.22,73086209
2020-03-05,212.69,216.36,210.1,211.59,78705458
